,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1062,IKO,FINANCE,4.7,167.168,20.0,1000000.0,Free,0.0,Everyone,Finance,"July 4, 2018",3.115.27,4.1 and up
1063,Cash App,FINANCE,4.0,34.428,15.0,10000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",2.31.1,5.0 and up
1064,Standard Bank / Stanbic Bank,FINANCE,3.6,15.247,28.0,1000000.0,Free,0.0,Everyone,Finance,"July 13, 2018",3.0.5,4.0.3 and up
1065,Bualuang mBanking,FINANCE,4.0,48.445,10.0,5000000.0,Free,0.0,Everyone,Finance,"July 16, 2018",2.6.0,4.0.3 and up
1066,Intesa Sanpaolo Mobile,FINANCE,3.6,35.518,,1000000.0,Free,0.0,Everyone,Finance,"July 2, 2018",Varies with device,Varies with device
1067,UBA Mobile Banking,FINANCE,4.3,12.185,,1000000.0,Free,0.0,Everyone,Finance,"June 8, 2018",Varies with device,Varies with device
1068,BBVA Spain,FINANCE,4.2,36.746,,5000000.0,Free,0.0,Everyone,Finance,"July 24, 2018",Varies with device,Varies with device
1069,MyMo by GSB,FINANCE,4.2,21.996,14.0,1000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",1.17.2,4.0.3 and up
1070,VTB-Online,FINANCE,4.1,138.371,,5000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",Varies with device,4.0.3 and up
1071,Ecobank Mobile Banking,FINANCE,4.0,12.073,42.0,1000000.0,Free,0.0,Everyone,Finance,"May 25, 2018",3.3,4.2 and up
1072,Banorte Movil,FINANCE,4.1,111.632,65.0,1000000.0,Free,0.0,Everyone,Finance,"June 9, 2018",5.10.1.40699,4.4 and up
1073,Wells Fargo Mobile,FINANCE,4.4,250.706,37.0,10000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",6.8.0.109,5.0 and up
1074,Credit Karma,FINANCE,4.7,706.301,,10000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
1075,BZWBK24 mobile,FINANCE,4.5,64.959,39.0,1000000.0,Free,0.0,Everyone,Finance,"June 18, 2018",5.0.1,4.1 and up
1076,PayPal,FINANCE,4.3,659.741,47.0,50000000.0,Free,0.0,Everyone,Finance,"July 18, 2018",6.28.0,4.4 and up
1077,Capital One® Mobile,FINANCE,4.6,510.392,79.0,10000000.0,Free,0.0,Everyone,Finance,"August 1, 2018",5.38.1,5.0 and up
1078,Zenith Bank Mobile App,FINANCE,4.3,7.215,18.0,1000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",2.7.4,4.0 and up
1079,"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25.508,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,4.2 and up
1080,Post Bank,FINANCE,4.5,60.449,100.0,1000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",2.9.12,4.0 and up
1081,İşCep,FINANCE,4.5,381.788,32.0,10000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",3.22.0,4.1 and up
1082,People's Bank,FINANCE,3.6,10.697,46.0,1000000.0,Free,0.0,Everyone,Finance,"July 18, 2018",3.22.1,4.1 and up
1083,Google Pay,FINANCE,4.2,347.838,,100000000.0,Free,0.0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device
1084,Transfer,FINANCE,4.1,31.804,9.8,5000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",3.1.6.12,4.0 and up
1085,T-Mobile in,FINANCE,3.5,3.856,8.2,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",3.2.1,4.4 and up
1086,TrueMoney Wallet,FINANCE,4.4,199.684,18.0,5000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",Varies with device,Varies with device
1087,Alfa-Bank (Alfa-Bank),FINANCE,4.0,44.545,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
1088,Bank of Brazil,FINANCE,4.5,1336.246,39.0,10000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",6.39.1.4,4.1 and up
1089,WiseBanyan - Invest For Free,FINANCE,4.2,0.257,44.0,10000.0,Free,0.0,Everyone,Finance,"July 31, 2018",2.2.12,4.4W and up
1090,"Robinhood - Investing, No Fees",FINANCE,4.6,57.493,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
1091,Wells Fargo Daily Change,FINANCE,4.2,0.283,5.0,100000.0,Free,0.0,Everyone,Finance,"April 26, 2018",2.5.0.26,5.0 and up
1092,"Even - organize your money, get paid early",FINANCE,4.8,12.304,21.0,100000.0,Free,0.0,Everyone,Finance,"August 2, 2018",6.0.16,5.0 and up
1093,Digit Save Money Automatically,FINANCE,4.5,8.188,22.0,100000.0,Free,0.0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up
1094,Stash: Invest. Learn. Save.,FINANCE,4.2,11.919,23.0,1000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",1.13.2.11,4.4 and up
1095,Acorns - Invest Spare Change,FINANCE,4.3,45.957,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
1097,"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126.431,,1000000.0,Free,0.0,Everyone,Finance,"August 1, 2018",Varies with device,Varies with device
1098,Expense IQ Money Manager,FINANCE,4.4,21.57,27.0,1000000.0,Free,0.0,Everyone,Finance,"June 19, 2018",2.0.4,4.0 and up
1099,Money Manager Expense & Budget,FINANCE,4.6,134.564,,5000000.0,Free,0.0,Everyone,Finance,"July 25, 2018",Varies with device,Varies with device
1101,"Prism Pay Bills, Track Money, Personal Finance",FINANCE,4.6,16.961,32.0,500000.0,Free,0.0,Everyone,Finance,"August 4, 2018",2.12.100,4.1 and up
1102,Monefy - Money Manager,FINANCE,4.6,111.254,7.4,1000000.0,Free,0.0,Everyone,Finance,"July 3, 2018",1.8.9,4.0 and up
1103,Simple - Better Banking,FINANCE,4.4,7.731,24.0,100000.0,Free,0.0,Everyone,Finance,"August 2, 2018",2.53.2,5.0 and up
1104,Chime - Mobile Banking,FINANCE,4.3,5.928,22.0,500000.0,Free,0.0,Everyone,Finance,"July 22, 2018",5.1.1,5.0 and up
1105,Bluebird by American Express,FINANCE,4.2,15.703,,1000000.0,Free,0.0,Everyone,Finance,"July 25, 2018",Varies with device,Varies with device
1106,Walmart MoneyCard,FINANCE,4.2,6.148,10.0,1000000.0,Free,0.0,Everyone,Finance,"June 1, 2018",1.14.1,4.1 and up
1107,Moven - Smart Finances,FINANCE,3.8,0.861,17.0,100000.0,Free,0.0,Everyone,Finance,"May 29, 2018",3.3.9,4.4 and up
1108,Qapital - Save Small. Live Large,FINANCE,4.5,8.662,38.0,100000.0,Free,0.0,Everyone,Finance,"July 20, 2018",2.5.7,4.4 and up
1109,Experian - Free Credit Report,FINANCE,4.6,23.13,46.0,1000000.0,Free,0.0,Everyone,Finance,"July 12, 2018",2.1.4,4.2 and up
1110,Branch,FINANCE,4.6,69.973,3.8,1000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",1.17.1,4.0 and up
1111,"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1.311,9.3,50000.0,Free,0.0,Everyone,Finance,"June 19, 2018",1.4.11,4.4 and up
1112,CreditWise from Capital One,FINANCE,4.6,26.587,8.4,1000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",1.18.0,4.4 and up
1113,"NerdWallet: Personal Finance, Credit Score & Cash",FINANCE,4.6,2.417,28.0,100000.0,Free,0.0,Everyone,Finance,"August 3, 2018",3.5.0,4.4 and up
1115,my face,FINANCE,3.8,1.054,9.7,100000.0,Free,0.0,Everyone,Finance,"July 10, 2018",2.3.0,5.0 and up
1116,Credit Sesame,FINANCE,4.3,25.166,11.0,1000000.0,Free,0.0,Everyone,Finance,"July 25, 2018",3.1.16,4.1 and up
1117,"Mint: Budget, Bills, Finance",FINANCE,4.3,129.304,,5000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",Varies with device,Varies with device
1118,Fresh EBT - Food Stamp Balance,FINANCE,4.5,19.87,7.4,1000000.0,Free,0.0,Everyone,Finance,"July 24, 2018",2.9.5,4.0.3 and up
1119,"Hurdlr: Track Mileage, Expenses, and Log Receipts",FINANCE,4.6,3.596,19.0,100000.0,Free,0.0,Everyone,Finance,"July 20, 2018",16.6,6.0 and up
1120,Mobills: Budget Planner,FINANCE,4.6,161.44,16.0,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",3.2.18.07.30,4.0.3 and up
1121,Everlance: Free Mileage Log,FINANCE,4.7,7.514,14.0,100000.0,Free,0.0,Everyone,Finance,"July 31, 2018",1.9.9.9.3,4.4 and up
1122,MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46.106,22.0,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",1.28.0.5402,4.4 and up
1123,QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15.141,25.0,1000000.0,Free,0.0,Everyone,Finance,"July 24, 2018",4.63,5.0 and up
1124,FREE Stock Market Trading Tips,FINANCE,3.9,0.714,3.6,50000.0,Free,0.0,Everyone,Finance,"June 7, 2017",2.10.3,2.3.3 and up
1125,MetaTrader 5,FINANCE,4.5,42.41,,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",Varies with device,Varies with device
1126,MetaTrader 4,FINANCE,4.6,260.547,,5000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
1127,Stock Quote,FINANCE,4.1,4.344,4.5,500000.0,Free,0.0,Everyone,Finance,"July 30, 2018",3.6.2,4.0 and up
1128,Seeking Alpha,FINANCE,4.5,22.808,,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",Varies with device,Varies with device
1129,Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42.809,23.0,1000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",3.04 - Beta,4.1 and up
1130,Stocks: Realtime Quotes Charts,FINANCE,4.5,16.808,,1000000.0,Free,0.0,Everyone,Finance,"May 1, 2018",Varies with device,Varies with device
1131,"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",FINANCE,4.6,157.505,,5000000.0,Free,0.0,Everyone,Finance,"August 1, 2018",Varies with device,Varies with device
1132,CNBC: Breaking Business News & Live Market Data,FINANCE,4.2,24.647,,1000000.0,Free,0.0,Everyone,Finance,"July 13, 2018",Varies with device,Varies with device
1133,US Stock Market,FINANCE,4.4,1.922,4.2,100000.0,Free,0.0,Everyone,Finance,"August 1, 2018",1.28,2.3 and up
1134,Bloomberg Professional,FINANCE,4.1,3.334,,500000.0,Free,0.0,Everyone,Finance,"July 23, 2018",Varies with device,Varies with device
1135,E*TRADE Mobile,FINANCE,3.9,10.658,58.0,1000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up
1137,MSN Money- Stock Quotes & News,FINANCE,4.5,78.361,22.0,1000000.0,Free,0.0,Everyone,Finance,"July 5, 2018",1.2.0,4.2 and up
1138,Fox Business,FINANCE,3.7,2.594,,500000.0,Free,0.0,Everyone,Finance,"March 13, 2018",Varies with device,Varies with device
1139,NSE Mobile Trading,FINANCE,4.1,13.868,1.4,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2017",1.1.16,2.1 and up
1140,Yahoo Finance,FINANCE,4.4,135.952,,5000000.0,Free,0.0,Everyone,Finance,"July 30, 2018",Varies with device,Varies with device
1141,"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11.066,9.1,500000.0,Free,0.0,Everyone,Finance,"July 18, 2018",1.1.39,4.0 and up
1144,Webull - Stock Quotes & Free Stock Trading,FINANCE,4.3,34.861,,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",Varies with device,Varies with device
1145,"Trading 212 - Forex, Stocks, CFDs",FINANCE,4.3,37.58,,5000000.0,Free,0.0,Everyone,Finance,"August 1, 2018",4.5.2.1,4.4 and up
1146,"Moneycontrol – Stocks, Sensex, Mutual Funds, IPO",FINANCE,4.4,281.485,,5000000.0,Free,0.0,Everyone,Finance,"May 11, 2018",Varies with device,Varies with device
1147,Current debit card and app made for teens,FINANCE,4.3,0.685,21.0,50000.0,Free,0.0,Everyone,Finance,"August 3, 2018",3.0.22,4.4 and up
1150,Betterment,FINANCE,4.4,3.78,11.0,100000.0,Free,0.0,Everyone,Finance,"August 3, 2018",6.0.6,5.0 and up
1151,Citizens Bank Mobile Banking,FINANCE,4.1,15.192,38.0,1000000.0,Free,0.0,Everyone,Finance,"May 23, 2018",4.2.1,4.1 and up
1152,GoBank,FINANCE,4.4,5.95,12.0,500000.0,Free,0.0,Everyone,Finance,"June 1, 2018",2.131,4.1 and up
1153,NetSpend Prepaid,FINANCE,4.2,15.993,45.0,1000000.0,Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
1154,BBVA Compass Banking,FINANCE,4.3,5.905,50.0,500000.0,Free,0.0,Everyone,Finance,"July 27, 2018",6.0.2,4.4 and up
1157,BankMobile Vibe App,FINANCE,4.3,14.627,23.0,1000000.0,Free,0.0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up
1158,Netspend Skylight ONE,FINANCE,3.9,1.098,46.0,100000.0,Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
1159,ACE Elite,FINANCE,4.1,2.898,45.0,100000.0,Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
1160,U.S. Bank,FINANCE,4.1,70.782,50.0,1000000.0,Free,0.0,Everyone,Finance,"July 25, 2018",2.34.29,4.0.3 and up
1161,Huntington Mobile,FINANCE,4.2,11.264,24.0,1000000.0,Free,0.0,Everyone,Finance,"June 26, 2018",5.2.203,4.2 and up
1162,USAA Mobile,FINANCE,4.5,100.997,33.0,5000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",8.44.2,5.0 and up
1164,Associated Credit Union Mobile,FINANCE,4.7,3.29,12.0,50000.0,Free,0.0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up
1165,Bank of America Mobile Banking,FINANCE,4.4,341.09,53.0,10000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up
1166,USE Credit Union Mobile,FINANCE,4.6,0.964,14.0,10000.0,Free,0.0,Everyone,Finance,"June 12, 2018",5.9.1.0,5.0 and up
1167,Discover Mobile,FINANCE,4.6,87.951,68.0,5000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up
1170,Amex Mobile,FINANCE,4.3,24.729,32.0,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up
1171,Citi Mobile®,FINANCE,4.0,78.306,46.0,5000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up
1172,Navy Federal Credit Union,FINANCE,4.4,43.313,40.0,1000000.0,Free,0.0,Everyone,Finance,"July 9, 2018",5.16.2,4.1 and up
1173,Chase Mobile,FINANCE,4.6,1374.549,32.0,10000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up
1174,HDFC Bank MobileBanking,FINANCE,4.2,208.463,,10000000.0,Free,0.0,Everyone,Finance,"July 26, 2018",Varies with device,Varies with device
1175,Barclays US for Android,FINANCE,4.1,6.998,24.0,1000000.0,Free,0.0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up
1562,Dollhouse Decorating Games,LIFESTYLE,4.1,18.968,32.0,5000000.0,Free,0.0,Teen,Lifestyle,"April 26, 2018",5.1,4.1 and up
1563,metroZONE,LIFESTYLE,4.1,47.497,34.0,10000000.0,Free,0.0,Everyone,Lifestyle,"June 8, 2018",5.3.0.54.7,5.0 and up
1564,Easy Hair Style Design,LIFESTYLE,4.3,0.601,5.1,100000.0,Free,0.0,Everyone,Lifestyle,"December 20, 2017",1.0,2.3 and up
1565,Talking Babsy Baby: Baby Games,LIFESTYLE,4.0,140.995,100.0,10000000.0,Free,0.0,Everyone,Lifestyle;Pretend Play,"July 16, 2018",9.0,4.0 and up
1566,"Black Wallpaper, AMOLED, Dark Background: Darkify",LIFESTYLE,4.6,51.357,80.0,5000000.0,Free,0.0,Everyone,Lifestyle,"July 31, 2018",8.0,4.0 and up
1567,Girly Wallpapers Backgrounds,LIFESTYLE,4.4,13.565,3.3,1000000.0,Free,0.0,Everyone,Lifestyle,"August 5, 2018",2.5,4.0 and up
1568,Chart - Myanmar Keyboard,LIFESTYLE,4.4,39.364,28.0,5000000.0,Free,0.0,Everyone,Lifestyle,"July 17, 2018",10.19,4.0.3 and up
1569,Easy Makeup Tutorials,LIFESTYLE,4.3,7.287,5.0,1000000.0,Free,0.0,Everyone,Lifestyle,"November 3, 2016",1.0,2.3 and up
1570,Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161.143,11.0,10000000.0,Free,0.0,Everyone 10+,Lifestyle,"June 25, 2018",5.2.4(881),4.0.3 and up
1571,Entel,LIFESTYLE,3.2,16.168,55.0,1000000.0,Free,0.0,Everyone,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up
1572,ZenUI Safeguard,LIFESTYLE,4.5,0.1,7.1,1000000.0,Free,0.0,Everyone,Lifestyle,"May 9, 2018",1.0.0.21_180410,7.0 - 7.1.1
1573,Live 4D Results ! (MY & SG),LIFESTYLE,4.6,116.079,3.2,5000000.0,Free,0.0,Everyone,Lifestyle,"May 20, 2018",5.8,2.3 and up
1574,Diary with lock,LIFESTYLE,4.6,815.893,4.4,10000000.0,Free,0.0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up
1575,FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,4.3,0.985,16.0,500000.0,Free,0.0,Everyone,Lifestyle,"May 31, 2018",3.7,7.0 and up
1576,Telstra,LIFESTYLE,3.0,4.26,6.3,5000000.0,Free,0.0,Everyone,Lifestyle,"August 8, 2017",6.1,2.3.3 and up
1577,Family Locator - GPS Tracker,LIFESTYLE,4.4,726.074,45.0,10000000.0,Free,0.0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up
1578,Van Nien 2018 - Lich Van su & Lich Am,LIFESTYLE,4.4,3.829,23.0,1000000.0,Free,0.0,Everyone,Lifestyle,"June 1, 2018",3.9.3,4.1 and up
1579,Safeway,LIFESTYLE,4.3,33.572,37.0,1000000.0,Free,0.0,Everyone,Lifestyle,"August 2, 2018",6.2.0,4.4 and up
1580,HTC Speak,LIFESTYLE,3.5,6.145,13.0,10000000.0,Free,0.0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up
1581,Kawaii Easy Drawing : How to draw Step by Step,LIFESTYLE,4.3,34.327,8.1,5000000.0,Free,0.0,Everyone,Lifestyle,"July 17, 2018",2.5.1,4.0 and up
1582,Tattoodo - Find your next tattoo,LIFESTYLE,4.5,7.457,13.0,1000000.0,Free,0.0,Teen,Lifestyle,"August 3, 2018",2.4.12-r244,4.1 and up
1583,H&M,LIFESTYLE,3.7,41.941,14.0,10000000.0,Free,0.0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up
1584,Samsung+,LIFESTYLE,4.5,82.145,30.0,50000000.0,Free,0.0,Everyone,Lifestyle,"July 5, 2018",10.19.0.0,4.4 and up
1585,Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,4.2,10.944,36.0,1000000.0,Free,0.0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up
1586,Beautiful Design Birthday Cake,LIFESTYLE,4.3,0.665,3.0,500000.0,Free,0.0,Everyone,Lifestyle,"August 4, 2018",2.0,2.3 and up
1587,Pronunciation and know the name of the caller from his number,LIFESTYLE,4.6,2.167,1.4,500000.0,Free,0.0,Everyone,Lifestyle,"January 7, 2018",1.0,2.3 and up
1588,Super Slime Simulator - Satisfying Slime App,LIFESTYLE,4.5,53.652,39.0,1000000.0,Free,0.0,Everyone,Lifestyle,"August 5, 2018",2.15,5.0 and up
1589,Caf - My Account,LIFESTYLE,3.9,18.961,1.8,5000000.0,Free,0.0,Everyone,Lifestyle,"September 24, 2015",1.1.1,2.3 and up
1590,H Pack,LIFESTYLE,4.3,9.412,1.7,1000000.0,Free,0.0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up
1591,Family convenience store FamilyMart,LIFESTYLE,3.3,9.663,19.0,1000000.0,Free,0.0,Everyone,Lifestyle,"July 16, 2018",Version:6.97,4.4 and up
1592,သိင်္ Astrology - Min Thein Kha BayDin,LIFESTYLE,4.7,2.225,15.0,100000.0,Free,0.0,Everyone,Lifestyle,"July 26, 2018",4.2.1,4.0.3 and up
1593,w UN map,LIFESTYLE,4.2,23.164,10.0,1000000.0,Free,0.0,Mature 17+,Lifestyle,"July 24, 2018",2.6,5.0 and up
1594,Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3.031,2.7,1000000.0,Free,0.0,Everyone,Lifestyle,"July 3, 2018",1.5.3,4.0 and up
1595,Galaxy Gift,LIFESTYLE,4.4,95.557,16.0,10000000.0,Free,0.0,Everyone,Lifestyle,"July 23, 2018",7.0.8,4.0.3 and up
1596,PASS by KT (formerly KT certified),LIFESTYLE,3.5,7.869,21.0,1000000.0,Free,0.0,Everyone,Lifestyle,"August 1, 2018",02.00.06,4.4 and up
1597,Safety stepping stone,LIFESTYLE,3.7,4.212,20.0,1000000.0,Free,0.0,Everyone,Lifestyle,"July 25, 2018",3.4.5,2.3 and up
1598,Rate Guide Bill Letter,LIFESTYLE,3.8,17.368,14.0,10000000.0,Free,0.0,Everyone,Lifestyle,"June 27, 2018",5.1.3,4.0 and up
1599,US Mission - buy gourmet movie KTV,LIFESTYLE,3.8,6.554,76.0,500000.0,Free,0.0,Teen,Lifestyle,"June 20, 2018",9.4.2,4.1 and up
1600,OK cashbag [point of pleasure],LIFESTYLE,3.7,33.264,18.0,10000000.0,Free,0.0,Everyone,Lifestyle,"June 15, 2018",6.2.1,4.0 and up
1601,JOANN - Crafts & Coupons,LIFESTYLE,4.6,34.782,12.0,1000000.0,Free,0.0,Everyone,Lifestyle,"June 22, 2018",5.2.2,4.3 and up
1602,MK eCatalog,LIFESTYLE,4.0,6.676,6.2,1000000.0,Free,0.0,Everyone,Lifestyle,"February 21, 2018",3.0,4.2 and up
1603,Vaniday - Beauty Booking App,LIFESTYLE,3.6,1.067,,100000.0,Free,0.0,Everyone,Lifestyle,"March 20, 2018",3.8.15,4.1 and up
1604,Fashion in Vogue,LIFESTYLE,3.8,1.797,6.8,100000.0,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up
1605,Mirror,LIFESTYLE,4.1,367.505,,10000000.0,Free,0.0,Everyone,Lifestyle,"July 25, 2018",Varies with device,Varies with device
1606,StyleSeat,LIFESTYLE,4.7,20.304,24.0,500000.0,Free,0.0,Everyone,Lifestyle,"July 31, 2018",4.35,4.0.3 and up
1607,Wedding Countdown Widget,LIFESTYLE,3.9,7.376,19.0,1000000.0,Free,0.0,Everyone,Lifestyle,"January 11, 2018",5.2.2018010801-1,4.1 and up
1608,My Day - Countdown Calendar 🗓️,LIFESTYLE,4.1,49.147,13.0,1000000.0,Free,0.0,Everyone,Lifestyle,"May 7, 2018",2.9.5,4.1 and up
1609,justWink Greeting Cards,LIFESTYLE,4.6,69.177,15.0,1000000.0,Free,0.0,Teen,Lifestyle,"August 2, 2017",2.7.3,4.4 and up
1610,Wedding LookBook by The Knot,LIFESTYLE,4.2,3.448,13.0,100000.0,Free,0.0,Everyone,Lifestyle,"July 9, 2018",3.9.5,4.0.3 and up
1612,Big Days - Events Countdown,LIFESTYLE,4.6,39.724,,1000000.0,Free,0.0,Everyone,Lifestyle,"June 29, 2018",Varies with device,Varies with device
1613,"Wedding Planner by WeddingWire - Venues, Checklist",LIFESTYLE,4.2,3.788,44.0,1000000.0,Free,0.0,Everyone,Lifestyle,"July 24, 2018",8.5.1,5.0 and up
1614,Been Together (Ad) - D-day,LIFESTYLE,4.4,95.736,,10000000.0,Free,0.0,Everyone,Lifestyle,"July 30, 2018",Varies with device,Varies with device
1615,WedMeGood - Wedding Planner,LIFESTYLE,4.6,1.658,9.7,100000.0,Free,0.0,Everyone,Lifestyle,"July 31, 2018",2.0.9,4.4 and up
1617,DIY Garden Ideas,LIFESTYLE,4.1,3.309,13.0,500000.0,Free,0.0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up
1618,Brit + Co,LIFESTYLE,3.9,0.987,4.5,10000.0,Free,0.0,Everyone,Lifestyle,"August 29, 2017",2.0.4,4.0 and up
1619,Creative Ideas - DIY & Craft,LIFESTYLE,4.0,5.208,4.5,100000.0,Free,0.0,Teen,Lifestyle,"November 23, 2017",1.37,4.0 and up
1620,Homestyler Interior Design & Decorating Ideas,LIFESTYLE,4.1,78.298,29.0,5000000.0,Free,0.0,Everyone,Lifestyle,"August 2, 2018",3.1.2.1,4.1 and up
1622,Wheretoget: Shop in style,LIFESTYLE,4.1,6.808,12.0,500000.0,Free,0.0,Teen,Lifestyle,"June 5, 2017",3.2.0,4.1 and up
1623,My Dressing - Fashion closet,LIFESTYLE,4.1,12.452,,500000.0,Free,0.0,Everyone,Lifestyle,"January 26, 2017",Varies with device,Varies with device
1624,Chictopia,LIFESTYLE,4.1,0.36,4.6,10000.0,Free,0.0,Everyone,Lifestyle,"April 30, 2014",1.6.2,2.2 and up
1625,Scarf Fashion Designer,LIFESTYLE,4.4,16.637,10.0,1000000.0,Free,0.0,Everyone,Lifestyle,"June 18, 2017",1.8,2.3 and up
